year,month,precipitation
2014,1,0.0483700968325138
2014,2,0
2014,3,0.115731723606586
2014,4,0
2014,5,5.16093426942825
2014,6,45.6105461120605
2014,7,94.7050952911377
2014,8,165.846141815186
2014,9,162.805361509323
2014,10,79.1392645835876
2014,11,1.33405411243439
2014,12,0.413327321410179
2015,1,0.0729378538671881
2015,2,0
2015,3,0
2015,4,0
2015,5,1.88968575000763
2015,6,59.9952816665173
2015,7,151.377222537994
2015,8,310.430166244507
2015,9,270.047525167465
2015,10,101.622153162956
2015,11,1.26409506797791
2015,12,0.447174251079559
2016,1,0.0899684401229024
2016,2,0.198702968657017
2016,3,0.116765510290861
2016,4,0
2016,5,4.46726131439209
2016,6,77.1211168766022
2016,7,190.897741794586
2016,8,233.472589492798
2016,9,298.486177921295
2016,10,17.0573509931564
2016,11,1.30622559785843
2016,12,0.413143295794725
