year,week,precipitation
2014,1,0
2014,2,0.0483700968325138
2014,3,0
2014,4,0
2014,5,0
2014,6,0
2014,7,0
2014,8,0
2014,9,0
2014,10,0
2014,11,0
2014,12,0.115731723606586
2014,13,0
2014,14,0
2014,15,0
2014,16,0
2014,17,0
2014,18,0
2014,19,0
2014,20,0
2014,21,5.16093426942825
2014,22,0
2014,23,29.9767227172852
2014,24,0
2014,25,4.82282495498657
2014,26,5.51524066925049
2014,27,40.8462710380554
2014,28,4.34911108016968
2014,29,35.8197498321533
2014,30,12.6093254089355
2014,31,6.37639570236206
2014,32,51.4971570968628
2014,33,46.543613910675
2014,34,21.8210105895996
2014,35,37.3724284172058
2014,36,29.2217855453491
2014,37,28.2922747135162
2014,38,72.0695862770081
2014,39,41.833646774292
2014,40,14.9723310470581
2014,41,36.5120515823364
2014,42,16.0633473396301
2014,43,0
2014,44,11.591534614563
2014,45,0
2014,46,1.33405411243439
2014,47,0
2014,48,0
2014,49,0.323633812367916
2014,50,0
2014,51,0.0544541478157043
2014,52,0
2014,53,0.0352393612265587
2015,1,0
2015,2,0.0364022487774491
2015,3,0.00867234473116696
2015,4,0.0116736199706793
2015,5,0.0161896403878927
2015,6,0
2015,7,0
2015,8,0
2015,9,0
2015,10,0
2015,11,0
2015,12,0
2015,13,0
2015,14,0
2015,15,0
2015,16,0
2015,17,0
2015,18,0
2015,19,0
2015,20,0
2015,21,1.88968575000763
2015,22,0
2015,23,0.435422867536545
2015,24,12.6564416885376
2015,25,23.0433197021484
2015,26,15.9738121032715
2015,27,20.9040927886963
2015,28,28.708553314209
2015,29,30.7475566864014
2015,30,40.7714195251465
2015,31,38.1318855285645
2015,32,48.6385097503662
2015,33,97.0173950195312
2015,34,102.281446456909
2015,35,53.5704126358032
2015,36,111.236791610718
2015,37,30.5808274745941
2015,38,41.5295548439026
2015,39,49.0478558540344
2015,40,60.0134048461914
2015,41,6.66456604003906
2015,42,46.8863778114319
2015,43,27.4145631790161
2015,44,7.21813905239105
2015,45,1.26409506797791
2015,46,0
2015,47,0
2015,48,0
2015,49,0
2015,50,0.0790960341691971
2015,51,0.0790960341691971
2015,52,0.139410369098186
2015,53,0.149571813642979
2016,1,0.0504755116999149
2016,2,0.0252377558499575
2016,3,0
2016,4,0.01425517257303
2016,5,0
2016,6,0
2016,7,0.0986470133066177
2016,8,0.100055955350399
2016,9,0
2016,10,0
2016,11,0
2016,12,0
2016,13,0.116765510290861
2016,14,0
2016,15,0
2016,16,0
2016,17,0
2016,18,0
2016,19,0
2016,20,0
2016,21,0
2016,22,2.97817420959473
2016,23,1.48908710479736
2016,24,7.94028806686401
2016,25,24.2692005634308
2016,26,23.8828926086426
2016,27,21.0287356376648
2016,28,22.5999975204468
2016,29,21.4692535400391
2016,30,79.7537269592285
2016,31,55.7810626029968
2016,32,33.0356864929199
2016,33,32.9178638458252
2016,34,97.2595691680908
2016,35,40.9021081924438
2016,36,63.0359869003296
2016,37,47.2020225524902
2016,38,132.911218643188
2016,39,35.999035358429
2016,40,59.988977432251
2016,41,2.77412080764771
2016,42,6.44906806945801
2016,43,1.30743563175201
2016,44,2.53865218162537
2016,45,5.20192837715149
2016,46,0.0923715233802795
2016,47,0
2016,48,0
2016,49,0
2016,50,0
2016,51,0.199946764856577
2016,52,0.213196530938148
2016,53,0
